REF_DATE,City,Province,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,Minimum Wage
1990,Gander,Newfoundland and Labrador,2011A00051006009,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824688,3.4.2,389.00,,,,0,4.25
1990,Grand Falls-Windsor,Newfoundland and Labrador,2011S0504010,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824742,4.4.2,417.00,,,,0,4.25
1990,Labrador City,Newfoundland and Labrador,2011A00051010032,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824749,5.4.2,287.00,,,t,0,4.25
1990,St. John's,Newfoundland and Labrador,2011S0503001,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824626,6.4.2,479.00,,,,0,4.25
1990,Charlottetown,Prince Edward Island,2011S0504105,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824640,7.4.2,390.00,,,,0,4.5
1990,Summerside,Prince Edward Island,2011S0504110,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824777,8.4.2,378.00,,,,0,4.5
1990,Cape Breton,Nova Scotia,2011S0504225,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824667,9.4.2,343.00,,,,0,4.5
1990,Halifax,Nova Scotia,2011S0503205,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824613,10.4.2,485.00,,,,0,4.5
1990,New Glasgow,Nova Scotia,2011S0504220,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824757,13.4.2,355.00,,,,0,4.5
1990,Truro,Nova Scotia,2011S0504215,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824785,14.4.2,368.00,,,,0,4.5
1990,Bathurst,New Brunswick,2011S0504328,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824730,15.4.2,321.00,,,,0,4.75
1990,Campbellton,New Brunswick,2011S050613330,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824733,16.4.2,324.00,,,,0,4.75
1990,Edmundston,New Brunswick,2011S0504335,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824739,17.4.2,299.00,,,,0,4.75
1990,Fredericton,New Brunswick,2011S0504320,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824646,18.4.2,435.00,,,,0,4.75
1990,Moncton,New Brunswick,2011S0503305,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824655,20.4.2,389.00,,,,0,4.75
1990,Saint John,New Brunswick,2011S0503310,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824625,22.4.2,356.00,,,,0,4.75
1990,Alma,Quebec,2011S0504410,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824669,23.4.2,304.00,,,,0,5.3
1990,Baie-Comeau,Quebec,2011S0504406,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824729,26.4.2,388.00,,,,0,5.3
1990,Cowansville,Quebec,2011S0504437,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824678,31.4.2,305.00,,,,0,5.3
1990,Dolbeau-Mistassini,Quebec,2011S0504411,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824737,32.4.2,267.00,,,,0,5.3
1990,Drummondville,Quebec,2011S0504447,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824645,33.4.2,316.00,,,,0,5.3
1990,Gaspé,Quebec,2011A00052403005,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824689,34.4.2,368.00,,,,0,5.3
1990,Ottawa-Gatineau,Quebec,2011S050524505,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824621,37.4.2,441.00,,,,0,5.3
1990,Granby,Quebec,2011S0504450,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824647,35.4.2,339.00,,,,0,5.3
1990,Joliette,Quebec,2011S0504456,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824745,38.4.2,325.00,,,,0,5.3
1990,La Tuque,Quebec,2006S0504446,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824751,40.4.2,271.00,,,,0,5.3
1990,Lachute,Quebec,2011S0504468,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824750,41.4.2,302.00,,,,0,5.3
1990,Magog,Quebec,2011A00052445072,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824754,42.4.2,291.00,,,t,0,5.3
1990,Matane,Quebec,2011S0504403,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824700,43.4.2,320.00,,,,0,5.3
1990,Montmagny,Quebec,2011A00052418050,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824704,45.4.2,321.00,,,,0,5.3
1990,Montréal,Quebec,2011S0503462,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824617,46.4.2,440.00,,,,0,5.3
1990,Québec,Quebec,2011S0503421,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824623,48.4.2,440.00,,,,0,5.3
